"companyid","month","x1","x2","x3","x4","incidents"
1,2018-01-01,44.3952435344779,69.4013984175399,3,0,0
1,2018-02-01,47.6982251051672,64.222991541028,1,1,0
1,2018-03-01,65.5870831414912,58.4141774522141,4,0,0
1,2018-04-01,50.7050839142458,47.8456398285925,6,0,0
1,2018-05-01,51.2928773516095,54.4444727664813,7,0,0
1,2018-06-01,67.1506498688328,77.7889839746058,6,0,0
1,2018-07-01,54.609162059892,40.2379512181506,7,1,0
1,2018-08-01,37.3493876539347,26.1307447589934,3,0,0
1,2018-09-01,43.1314714810647,27.3086728202179,7,1,0
1,2018-10-01,45.5433802990004,25.1715929061174,5,1,0
1,2018-11-01,62.2408179743946,43.4594429703429,7,0,1
1,2018-12-01,53.5981382705736,25.6232014391571,4,0,0
1,2019-01-01,54.0077145059405,31.7556549888104,10,1,1
1,2019-02-01,51.1068271594512,78.0289424117655,5,0,3
1,2019-03-01,44.4415886524593,53.3265539072454,12,0,0
1,2019-04-01,67.8691313680308,38.5140903154388,6,1,0
1,2019-05-01,54.9785047822924,50.7544636679813,4,1,0
1,2019-06-01,30.3338284337036,57.7899957308546,2,1,0
1,2019-07-01,57.0135590156369,42.0943332649767,2,1,0
1,2019-08-01,45.2720859227207,25.5054591968656,5,1,0
1,2019-09-01,39.3217629401315,63.1412683380768,6,0,0
1,2019-10-01,47.8202508534171,35.0457434682176,5,0,0
1,2019-11-01,39.7399555169276,75.6267863465473,3,0,0
1,2019-12-01,42.7110877070886,56.0409840755165,7,0,0
1,2020-01-01,43.7496073215074,51.3280241703615,6,1,0
1,2020-02-01,33.1330668925759,67.228259248659,3,1,0
1,2020-03-01,58.3778704449452,62.3453958891332,3,1,0
1,2020-04-01,51.5337311783652,76.1523954337463,1,0,0
1,2020-05-01,38.6186306298805,29.1453251522034,6,1,0
1,2020-06-01,62.5381492106993,40.2577418973669,3,0,1
1,2020-07-01,54.2646422147681,47.6102625345811,2,1,0
1,2020-08-01,47.0492851700773,52.7988444967195,7,1,0
1,2020-09-01,58.9512566104502,50.7412685966119,10,0,0
1,2020-10-01,58.7813348753304,68.6577156372368,7,0,0
1,2020-11-01,58.2158108163749,60.6002984708175,3,0,0
1,2020-12-01,56.8864025410009,26.2066953629255,5,0,0
1,2021-01-01,55.5391765353759,58.9838410681114,8,0,5
1,2021-02-01,49.3808828942328,46.2324143340811,4,1,0
1,2021-03-01,46.9403733626008,54.1429181676358,3,0,0
1,2021-04-01,46.1952899898762,48.8071510056034,5,1,0
1,2021-05-01,43.0529302107949,59.1369906906039,6,0,3
1,2021-06-01,47.920827219804,79.4652936141938,1,1,0
1,2021-07-01,37.3460364843174,31.2600425677374,4,1,1
1,2021-08-01,71.6895596533851,45.3804565174505,4,1,0
1,2021-09-01,62.0796199830499,54.5426358748227,6,1,0
1,2021-10-01,38.7689141679665,56.0200081253424,5,1,0
1,2021-11-01,45.9711516470092,23.1083669187501,8,1,0
1,2021-12-01,45.3334464637678,66.8571916548535,2,0,0
1,2022-01-01,57.7996511833632,69.1157418303192,9,1,0
1,2022-02-01,49.1663093352817,32.8154496662319,6,1,0
1,2022-03-01,52.5331851399475,65.1816392503679,5,1,0
1,2022-04-01,49.714532446513,59.2973642703146,7,1,1
1,2022-05-01,49.5712954270868,48.8151472434402,3,0,1
1,2022-06-01,63.6860228401446,51.1234263144433,6,0,0
1,2022-07-01,47.7422901434073,77.257277527824,3,0,0
1,2022-08-01,65.1647060442954,28.0202560825273,1,0,0
1,2022-09-01,34.5124719576978,37.5059263175353,10,0,0
1,2022-10-01,55.8461374963607,44.1488900594413,5,1,0
1,2022-11-01,51.2385424384461,73.902546861209,5,0,0
1,2022-12-01,52.1594156874397,66.999860224314,7,1,0
1,2023-01-01,53.7963948275988,65.5035326909274,4,1,0
1,2023-02-01,44.976765468907,61.5820605913177,6,0,0
1,2023-03-01,46.6679261633058,79.1435113316402,6,1,2
1,2023-04-01,39.8142461689291,68.4376977477223,4,1,0
1,2023-05-01,39.2820877352442,73.8670932687819,2,1,1
1,2023-06-01,53.0352864140426,41.4550797780976,7,0,0
1,2023-07-01,54.4820977862943,66.6086188005283,4,0,0
1,2023-08-01,50.530042267305,27.5823035556823,7,1,0
1,2023-09-01,59.2226746787974,63.1982940016314,3,0,0
1,2023-10-01,70.5008468562714,66.1966569488868,7,0,0
1,2023-11-01,45.0896883394346,62.1994600258768,0,0,0
1,2023-12-01,26.9083112435919,22.0287880720571,3,1,0
2,2018-01-01,60.0573852446226,68.3642994612455,6,0,0
2,2018-02-01,42.9079923741761,30.7134351506829,6,1,0
2,2018-03-01,43.1199138353264,66.641897149384,4,1,0
2,2018-04-01,60.255713696967,35.3479342814535,6,0,0
2,2018-05-01,47.1522699294899,73.1001835782081,5,1,0
2,2018-06-01,37.7928228774546,78.3760419813916,5,0,1
2,2018-07-01,51.8130347974915,46.6505218390375,7,1,0
2,2018-08-01,48.6110863756096,71.7752673337236,6,1,0
2,2018-09-01,50.0576418589989,77.6985759707168,5,0,0
2,2018-10-01,53.8528040112633,45.0354423373938,5,1,0
2,2018-11-01,46.2933996820759,49.386077420786,7,1,0
2,2018-12-01,56.4437654851883,78.9407143834978,11,1,0
2,2019-01-01,47.7951343818125,25.7486779429018,3,1,0
2,2019-02-01,53.317819639157,25.4300413606688,6,0,0
2,2019-03-01,60.9683901314935,73.9328174339607,5,0,0
2,2019-04-01,54.351814908338,41.8723925389349,3,1,0
2,2019-05-01,46.7406841446877,24.6463188575581,3,1,0
2,2019-06-01,61.4880761845109,20.3085945732892,7,0,1
2,2019-07-01,59.9350385596212,50.9171599848196,8,1,0
2,2019-08-01,55.4839695950807,30.2536647114903,6,0,0
2,2019-09-01,52.3873173511144,31.8866259139031,7,1,0
2,2019-10-01,43.7209392396063,50.4978773510084,5,1,0
2,2019-11-01,63.6065244853001,74.2694141017273,2,1,0
2,2019-12-01,43.9974041285287,39.3635773146525,5,0,0
2,2020-01-01,71.8733299301658,64.8227668367326,6,1,0
2,2020-02-01,65.3261062618519,51.7748694913462,3,1,0
2,2020-03-01,47.6429964089952,34.8437678208575,6,0,0
2,2020-04-01,39.7357909969322,27.9577003745362,3,1,0
2,2020-05-01,42.895934363007,71.4086831640452,6,1,0
2,2020-06-01,52.5688370915653,60.0795623566955,14,1,0
2,2020-07-01,47.5330812153763,55.175418141298,10,0,2
2,2020-08-01,46.5245740060227,52.5481254281476,5,0,0
2,2020-09-01,40.4838143273498,65.4409358277917,3,0,0
2,2020-10-01,49.5497227519108,59.0601331647485,6,1,0
2,2020-11-01,42.1509553054292,69.1412126459181,5,1,10
2,2020-12-01,33.3205806341186,44.2337985988706,4,0,0
2,2021-01-01,46.1977347971224,38.3618047973141,7,0,0
2,2021-02-01,59.1899660906077,66.495833308436,3,0,0
2,2021-03-01,44.2465303739161,56.3248222926632,4,1,0
2,2021-04-01,56.0796432222503,67.4147826060653,2,1,2
2,2021-05-01,33.8211729171084,20.3452028566971,4,1,1
2,2021-06-01,49.4443803447546,66.8074930598959,4,1,0
2,2021-07-01,55.1940720394346,41.7626355402172,6,0,3
2,2021-08-01,53.0115336216671,45.9306892193854,4,0,0
2,2021-09-01,51.0567619414894,68.0790313193575,7,1,0
2,2021-10-01,43.5929399169462,47.8977168444544,6,0,0
2,2021-11-01,41.5029565396642,70.7517527183518,2,0,0
2,2021-12-01,39.7587120939509,26.5587925584987,7,1,0
2,2022-01-01,51.1764659710013,63.4355869237334,4,1,0
2,2022-02-01,40.525253858152,47.4332536710426,4,1,0
2,2022-03-01,45.0944255629933,55.8494284050539,4,1,0
2,2022-04-01,47.4390780780175,73.92038078513,10,1,0
2,2022-05-01,68.4386200523221,66.3768108002841,5,0,0
2,2022-06-01,43.4805009830454,54.2657629912719,4,1,0
2,2022-07-01,52.3538657228486,30.6030308594927,9,1,0
